"PInumber","ISnum","LIB","Sample","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion Missing","Proportion Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Continent"
"PI276787","IS12627","SRR8474739","SRR8474739",NA,"SA 2305; PI 276787","TERRA_new",NA,"remove",0.549113794348932,0.0164578930024772,0.821816,NA,"Landrace","Durra-bicolor","Ethiopia",NA,9.579999,41.860001,1236,"Africa"
"PI276789","IS12629","SRR8474649","SRR8474649",NA,"SA 2307; PI 276789","TERRA_new",NA,"remove",0.867321680498429,0.0119599394384766,0.137372,NA,"Landrace","Durra-bicolor","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276790","IS12630","SRR8474717","SRR8474717",NA,"SA 2308; PI 276790","TERRA_new",NA,"remove",0.638216205311369,0.0129185032840086,0.468442,NA,"Landrace","Durra-bicolor","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276800","IS12636","SRR8474714","SRR8474714",NA,"SA 2318; PI 276800","TERRA_new",NA,NA,0.234080611292014,0.0332317791542005,1.00724,11,"Landrace","Durra-bicolor","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276801","IS12637","SRR8474809","SRR8474809",NA,"SA 2319; PI 276801","TERRA_new",NA,"remove",0.578263333363375,0.0117598958416552,0.398975,NA,"Landrace","Caudatum","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276803","IS12638","SRR8474658","SRR8474658",NA,"SA 2321; PI 276803","TERRA_new",NA,"remove",0.56153460806002,0.0189248517690413,0.614972,NA,"Landrace","Durra-bicolor","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276806","IS12641","SRR8474769","SRR8474769",NA,"SA 2324; PI 276806","TERRA_new",NA,"remove",0.537157827672721,0.0129957984990685,0.555468,NA,"Landrace",NA,"Ethiopia",NA,9.579999,41.860001,1236,"Africa"
"PI276816","IS12646","IZPX","PI276816",NA,"IS12646","GatesRef","keep",NA,0.138144397079142,0.0240549967494813,1.638932,11,"Landrace","Durra","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276816","IS12646","SRR8474780","SRR8474780",NA,"SA 2334; PI 276816","TERRA_new","remove","remove",0.922034894724473,0.01081832813153,0.054174,NA,"Landrace","Durra","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
"PI276820","IS12650","SRR8474808","SRR8474808",NA,"SA 2338; PI 276820","TERRA_new",NA,"remove",0.612975618616343,0.0192786759422702,0.329173,NA,"Landrace","Durra","Ethiopia",NA,9.579999,41.860001,NA,"Africa"
